Mass,CC11Pre1_Oct,CC11Pre2_Jul,CC11Pre2_Oct,CC11Pre3_Jul,CC11Pre3_Oct,CC15Post_Oct,CC15Pre_Oct,CC20Post_Oct,CC20Pre_Oct,Coal11Post1_Jun,Coal11Post2_Jun,Coal11Post3_Jun,Coal11Pre1_Jun,Coal11Pre2_Jun,Coal11Pre3_Jun,Coal20Post1_Jun,Coal20Post2_Jun,Coal20Post3_Jun,Coal20Pre1_Jun,Coal20Pre2_Jun,Coal20Pre3_Jun,CC11Post_Oct,CC11Post1_Jul,CC11Post2_Jul,CC11Post3_Jul,CC11Pre1_Jul
693.240538264222,0,0,0,0,2347414.5,0,1345958.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
693.255617859243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1493364,0,0,0,0,0,0,0,0,0,0,0
693.268686650244,0,0,0,0,0,0,0,0,0,0,0,0,1638250.1,1515313.9,1717877,0,0,0,0,0,0,0,0,0,0,0
693.276443927789,0,0,0,0,0,0,0,0,0,1369241.1,1659481.9,1688918.5,4100970.8,4368690.5,4330357.5,0,0,1426555.5,4366080,4700004,4316900,0,0,0,0,1920690.9
693.28941896368,0,0,0,0,0,0,0,0,0,1375386.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
693.304830454507,0,0,0,0,0,0,0,0,0,0,0,0,0,1787700.8,0,0,0,0,0,0,0,0,0,0,0,0
693.313020633467,0,0,0,0,0,0,0,0,0,0,0,0,2673518.3,2897717.3,2372984.8,0,0,0,2793732.8,2209126,1923814.8,0,0,0,0,0
693.34879257887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656041.5,0,0,0,0,0
693.34987026458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1522791.9,0,0,0,0,0,0
693.508926654549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2038714.8,0,0,0,0,0,0,0,0,0,0
693.672204144916,0,0,0,0,0,1549783.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
693.707045944517,0,0,0,0,0,1694937.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
693.755030668507,0,0,0,0,0,3549917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
693.756000836274,0,0,0,0,0,0,1251785.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
693.844332797749,0,0,0,0,0,2094307.1,0,0,0,0,1364367.4,0,0,0,0,0,1290870.3,0,0,0,0,0,0,0,0,0
693.844835671805,0,0,0,0,0,0,0,0,1883290.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
693.89310347482,0,0,0,0,0,0,0,0,1267613.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
694.171173135104,0,0,0,0,0,0,0,0,0,0,0,0,0,1498489.4,0,0,0,0,2259834.5,0,0,0,0,0,0,0
694.207430098123,0,0,0,0,0,0,0,0,0,0,0,0,1594308.6,0,0,0,0,0,1447295.6,1565588,0,0,0,0,0,0
694.244305108913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1648946.5,0,0,0,0,0
694.269828160887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1847768.9,0,0,0,0,0,0,0,0,0,0
694.279065867763,0,0,0,0,0,0,0,0,0,0,0,0,0,1909890,0,0,0,0,0,0,0,0,0,0,0,0
694.280478861132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1865097.8,0,0,0,0,0,0,0
694.479320875973,0,0,0,0,0,0,0,1290088.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
694.502881106217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3313479.8,0,0,0,0,0
694.503516336469,0,0,0,0,0,0,0,0,0,2661629.8,2124494,3080043.5,1627105.4,2666900,0,4639714,0,2276231.5,2232745,0,0,0,0,0,0,0
694.671226394669,0,0,0,0,0,1928476.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
694.695148256871,0,0,0,0,0,1435934.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
694.71901615498,0,0,0,0,0,7550752,1249799.1,0,1604816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
694.719647920595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2241678,0,0,0
694.742751982644,0,0,0,0,0,1761569.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
694.841883843253,0,0,0,0,0,3118888.8,0,0,0,0,0,0,0,0,0,2085871.9,2158201.5,1525131.1,0,0,0,0,0,0,0,0
694.842702596579,0,0,0,0,0,0,0,0,1664215.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
694.92036421921,0,0,0,0,0,0,0,4665280.5,0,0,0,0,1516042,0,0,0,0,0,0,0,0,9257546,0,0,0,0
694.932380984396,0,0,0,0,0,0,0,0,0,0,0,1694578.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
694.956604562762,5826675.5,5173080,3728063,5896775,4699503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3320498.3,4380347,3343701.5,6298393.5
695.053249214903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014710.5,1717695.3,0,0,0,0,0,0
695.073603760699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1565451.3,0,0,0,1597945.4,1536448.3,1583991.6,0,0,0,0,0
695.089229628915,0,0,0,0,0,0,0,0,0,0,0,0,1862170.5,0,2453516.5,0,0,0,3057659.5,2731969,0,0,0,0,0,0
695.089764829164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2222969,0,0,0,0,0
695.110196791776,0,0,0,0,0,0,0,0,0,0,0,0,2408988.5,2785221.5,2761742.3,0,0,0,0,3867586.3,2205562.8,0,0,0,0,1683234.3
695.110558082027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3502078.8,0,0,0,0,0,0,0
695.125554553663,0,0,0,0,0,0,0,0,0,0,0,0,2395678,1847494.8,2639375.5,0,0,0,2800128.8,2873283,1905276,0,0,0,0,0
695.146646831828,0,0,0,0,0,0,0,0,0,0,0,0,2809888,3136968.5,3174417.3,0,0,0,3369987.8,2852292,3165053.8,0,0,0,0,0
695.16198479144,0,0,0,0,0,0,0,0,0,0,0,0,1847329.6,2620361.8,1710610.6,0,0,0,1541126,1594820.8,1759615.1,0,0,0,0,0
695.181767129238,0,0,0,1951895.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
695.182872185312,0,0,0,0,0,0,0,0,0,0,0,0,3080739.5,3666379.5,3260436.5,0,1657722,0,3449865,4782022,3031936.8,0,0,0,0,0
